District Name,Town Name,Population,Median Household Income,Equalized Net Grand List Per Capita,2018-19,2019-20,2020-21,2021-22,2022-23,2018-2023,2020-2023,% change 18-23,% change 20-23
Sherman School District,Sherman,3521,"$120,682.00",302289.04,19.3,32.3,25.7,24.6,27.5,increased,increased,29.82%,6.55%
Simsbury School District,Simsbury,24516,"$128,829.00",154011.06,137.7,137.6,134.6,137.9,138.4,increased,increased,0.51%,2.75%
Somers School District,Somers,10254,"$106,305.00",132380.28,44.8,45.5,45.7,51.9,56.8,increased,increased,21.13%,19.54%
South Windsor School District,South Windsor,26903,"$119,972.00",166431.1,145.4,141.5,137.8,149,134.4,decreased,decreased,-8.18%,-2.53%
Southington School District,Southington,43447,"$101,098.00",146178.15,265.6,275.4,278.8,292.3,282.6,increased,increased,6.02%,1.34%
Sprague School District,Sprague,2973,"$72,989.00",96421.8,14.1,15.1,16.1,14,11.7,decreased,decreased,-20.51%,-37.61%
Stafford School District,Stafford,11460,"$82,546.00",102022.9,90,87.8,80.2,78.6,71.6,decreased,decreased,-25.70%,-12.01%
Stamford School District,Stamford,135511,"$96,885.00",243643.17,439,461,450,472,477,increased,increased,7.97%,5.66%
Sterling School District,Sterling,3581,"$84,643.00",109192.15,19.8,23.1,23.3,0,18.1,decreased,decreased,-9.39%,-28.73%
Stonington School District,Stonington,18288,"$93,349.00",242930.33,89.1,81.5,90.1,84.8,94.3,increased,increased,5.51%,4.45%
Stratford School District,Stratford,52265,"$82,286.00",130490.47,172.3,211.4,228.3,221.3,226.1,increased,decreased,23.79%,-0.97%
Suffield School District,Suffield,15725,"$110,938.00",141773.72,56.3,68.3,63.1,68.9,69.6,increased,increased,19.11%,9.34%
Thomaston School District,Thomaston,7426,"$71,039.00",119387.43,22.5,23,19.5,19.5,21.5,decreased,increased,-4.65%,9.30%
Thompson School District,Thompson,9185,"$75,168.00",110161.18,37.7,38.5,40,37.5,33.5,decreased,decreased,-12.54%,-19.40%
Tolland School District,Tolland,14552,"$118,367.00",125305.41,115.2,117.2,112.8,114.4,94.2,decreased,decreased,-22.29%,-19.75%
Torrington School District,Torrington,35422,"$60,662.00",82370.45,171,159,154.8,176.1,179.6,increased,increased,4.79%,13.81%
Trumbull School District,Trumbull,36742,"$129,239.00",196897.28,198.4,201.7,200.3,220.2,247.7,increased,increased,19.90%,19.14%
Union School District,Union,784,"$81,111.00",181884.22,4.7,4.3,4.1,4,4,decreased,decreased,-17.50%,-2.50%
Vernon School District,Vernon,30218,"$67,492.00",93902,128,130,113,127,133,increased,increased,3.76%,15.04%
Voluntown School District,Voluntown,2564,"$84,583.00",133369.89,14,17,15,22.5,22.5,increased,increased,37.78%,33.33%
Wallingford School District,Wallingford,44317,"$83,054.00",151507.68,204.9,209.8,198.1,209.5,221.4,increased,increased,7.45%,10.52%
Waterbury School District,Waterbury,114426,"$46,329.00",63308.71,625,513,454.6,462.1,476.8,decreased,increased,-31.08%,4.66%
Waterford School District,Waterford,19516,"$90,670.00",251536.37,91.2,101,99,91,96.1,increased,decreased,5.10%,-3.02%
Watertown School District,Watertown,22083,"$71,964.00",126048.06,111.7,108.1,119.6,98.5,106.5,decreased,decreased,-4.88%,-12.30%
West Hartford School District,West Hartford,64019,"$105,230.00",157883.12,353,387.8,367.7,386.4,387.1,increased,increased,8.81%,5.01%
West Haven School District,West Haven,55536,"$64,255.00",83800.67,168.9,172.7,170,197,194.8,increased,increased,13.30%,12.73%
Westbrook School District,Westbrook,6757,"$73,988.00",262663.5,35.4,34,35,34,33.8,decreased,decreased,-4.73%,-3.55%
Weston School District,Weston,10360,"$207,863.00",307363.95,60.6,61,63.2,76,79,increased,increased,23.29%,20.00%
Westport School District,Westport,27128,"$222,375.00",602127.71,179,182.5,178.2,185.7,185.8,increased,increased,3.66%,4.09%
Wethersfield School District,Wethersfield,27272,"$90,881.00",127602.4,117.6,120.3,119.8,131.6,147.4,increased,increased,20.22%,18.72%
Willington School District,Willington,5568,"$73,264.00",122242.58,11,24,26,26,21,increased,decreased,47.62%,-23.81%
Wilton School District,Wilton,18465,"$204,473.00",331605.41,101.7,93.4,92.7,98.5,97.5,decreased,increased,-4.31%,4.92%
Winchester School District,Winchester,10226,"$63,882.00",107015.44,38,38,38,36.5,37.5,decreased,decreased,-1.33%,-1.33%
Windham School District,Windham,24426,"$42,909.00",60099.14,135.6,126,129,119,142.4,increased,increased,4.78%,9.41%
Windsor Locks School District,Windsor Locks,12592,"$72,090.00",183486.68,68,79,70.3,69.3,74.8,increased,increased,9.09%,6.02%
Windsor School District,Windsor,29413,"$92,079.00",182514.21,119.1,111.6,108.2,155.4,182.1,increased,increased,34.60%,40.58%
Wolcott School District,Wolcott,16117,"$96,014.00",119057.4,62,65,69,70,85,increased,increased,27.06%,18.82%
Woodbridge School District,Woodbridge,9074,"$169,155.00",174954.52,31.6,31.6,33.6,35.3,43.6,increased,increased,27.52%,22.94%
Woodstock School District,Woodstock,8228,"$92,165.00",144397.97,43.3,38.8,33.8,37,36,decreased,increased,-20.28%,6.11%
